time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
281,-3.811514,,,,,281,0.766009
282,-3.800399,,,,,282,0.7660989
283,-6.129503,,,,,283,0.7662393
284,-3.5381217,,,,,284,0.7663013
285,-4.2189007,,,,,285,0.76656944
286,-4.053376,,,,,286,0.7666906
287,-4.0490327,,,,,287,0.7668309
288,-4.193727,,,,,288,0.7668771
289,-4.240186,,,,,289,0.766988
290,-4.2339215,,,,,290,0.7670162
291,-3.4577293,,,,,291,0.7673295
292,-3.6376178,,,,,292,0.76763093
293,-3.9008393,,,,,293,0.76784253
294,-5.7186365,,,,,294,0.7678697
295,-3.9249384,,,,,295,0.767935
296,-3.8082159,,,,,296,0.7680333
297,-3.3487074,,,,,297,0.7680401
298,-4.158673,,,,,298,0.7681047
299,-3.5862777,,,,,299,0.7682909
300,-4.3498588,,,,,300,0.7685354
301,-5.322938,,,,,301,0.7686428
302,-3.560925,,,,,302,0.76882863
303,-5.4866304,,,,,303,0.76888967
304,-3.8789923,,,,,304,0.76897234
305,-3.8337555,,,,,305,0.76908386
306,-5.3024344,,,,,306,0.76933825
307,-4.2075496,,,,,307,0.76988274
308,-4.0733833,,,,,308,0.77014935
309,-5.272416,,,,,309,0.7702539
310,-3.391623,,,,,310,0.7706175
311,-3.810343,,,,,311,0.7707984
312,-5.615331,,,,,312,0.77085954
313,-5.5717525,,,,,313,0.7710689
314,-6.209027,,,,,314,0.77108794
315,-4.2258644,,,,,315,0.77131945
316,-4.0053716,,,,,316,0.77135473
317,-3.6662865,,,,,317,0.7714326
318,-3.3985188,,,,,318,0.7715289
319,-3.406885,,,,,319,0.771559
320,-5.2810516,,,,,320,0.77157366
321,-3.8874824,,,,,321,0.7717747
322,-4.1582046,,,,,322,0.77191097
323,-3.5456448,,,,,323,0.7720185
324,-3.8356888,,,,,324,0.7720992
325,-3.4798522,,,,,325,0.7721459
326,-5.584022,,,,,326,0.7723438
327,-3.823565,,,,,327,0.7725301
328,-4.074504,,,,,328,0.7727195
329,-3.5356376,,,,,329,0.77309465
330,-3.4349067,,,,,330,0.7734734
331,-4.215756,,,,,331,0.77358395
332,-4.2164154,,,,,332,0.7736677
333,-5.132121,,,,,333,0.77385855
334,-5.494893,,,,,334,0.7739091
335,-3.4475715,,,,,335,0.773963
336,-4.3259497,,,,,336,0.774076
337,-5.48377,,,,,337,0.7742891
338,-3.4879541,,,,,338,0.7743824
339,-5.5203395,,,,,339,0.7744865
340,-5.408396,,,,,340,0.77473664
341,-3.6745787,,,,,341,0.77481556
342,-4.8210235,,,,,342,0.774965
343,-4.253376,,,,,343,0.77517515
344,-5.331781,,,,,344,0.77525616
345,-5.390857,,,,,345,0.7752945
346,-3.9982402,,,,,346,0.7756162
347,-4.7936945,,,,,347,0.7759056
348,-3.7192311,,,,,348,0.7760519
349,-3.7173688,,,,,349,0.7763208
350,-5.397767,,,,,350,0.7765624
351,-5.5750723,,,,,351,0.7767615
352,-3.6882806,,,,,352,0.7770227
353,-5.2672677,,,,,353,0.77705616
354,-5.2960424,,,,,354,0.77792513
355,-5.2046146,,,,,355,0.778456
356,-6.053254,,,,,356,0.77857816
357,-3.326328,,,,,357,0.7786311
358,-3.3329918,,,,,358,0.7786739
359,-5.080703,,,,,359,0.779046
360,-5.199825,,,,,360,0.7794549
361,-4.9315777,,,,,361,0.7797932
362,-4.8126616,,,,,362,0.7801522
363,-4.8018126,,,,,363,0.7803467
364,-4.7379427,,,,,364,0.7810261
365,-4.810187,,,,,365,0.78217113
366,-5.0597343,,,,,366,0.7829133
367,-4.866815,,,,,367,0.7836153
368,-5.04373,,,,,368,0.78397435
369,-5.8079467,,,,,369,0.78404695
370,-4.6952844,,,,,370,0.78421295
371,-4.830563,,,,,371,0.78431004
372,-4.803948,,,,,372,0.7844148
373,-4.8028774,,,,,373,0.78451055
374,-5.0739017,,,,,374,0.7848957
375,-4.7637706,,,,,375,0.7852756
376,-4.756136,,,,,376,0.78533745
377,-4.972301,,,,,377,0.7855254
378,-4.593983,,,,,378,0.78569514
379,-5.2984414,,,,,379,0.78596276
380,-5.07242,,,,,380,0.78603464
381,-4.8144383,,,,,381,0.7863325
382,-4.950655,,,,,382,0.7867127
383,-5.5413866,,,,,383,0.78683066
384,-5.6802835,,,,,384,0.7870615
385,-4.884527,,,,,385,0.7872857
386,-5.4531884,,,,,386,0.78784543
387,-5.8340364,,,,,387,0.78831375
388,-4.452766,,,,,388,0.7885359
389,-5.786323,,,,,389,0.7891739
390,-4.828251,,,,,390,0.78947645
391,-5.4959416,,,,,391,0.7896478
392,-5.679982,,,,,392,0.7898889
393,-7.010947,,,,,393,0.790473
394,-4.4852047,,,,,394,0.7914837
395,-4.728434,,,,,395,0.7920673
396,-4.470672,,,,,396,0.7921571
397,-4.876807,,,,,397,0.7929432
398,-4.3771605,,,,,398,0.7945148
399,-5.7264113,,,,,399,0.79474664
400,-5.187164,,,,,400,0.79562503
401,-5.159304,,,,,401,0.7958886
402,-4.471729,,,,,402,0.7965237
403,-5.046171,,,,,403,0.79670876
404,-5.232495,,,,,404,0.7970988
405,-5.220757,,,,,405,0.79734963
406,-4.744419,,,,,406,0.7975252
407,-4.051833,,,,,407,0.7978638
408,-4.8500633,,,,,408,0.7982471
409,-4.076661,,,,,409,0.7983915
410,-5.4696417,,,,,410,0.7989178
411,-4.761999,,,,,411,0.79952776
412,-5.4060345,,,,,412,0.7999284
413,-4.548684,,,,,413,0.7999764
414,-4.9299474,,,,,414,0.8004159
415,-4.0885024,,,,,415,0.80088437
416,-3.9592562,,,,,416,0.8012599
417,-4.421588,,,,,417,0.80160666
418,-3.9673135,,,,,418,0.8016882
419,-4.358994,,,,,419,0.8031705
420,-4.673616,,,,,420,0.8036112
421,-4.3537416,,,,,421,0.8069403
422,-4.3921556,,,,,422,0.8073349
423,-4.4513083,,,,,423,0.8074383
424,-5.346509,,,,,424,0.80918014
425,-5.5233483,,,,,425,0.8101859
